"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","estado_pil"
"4106",4106,15,2,5,7,2,17,1705,2,99,9,999,12,9,99,99,9999,5,99,9
"4107",4107,15,2,5,12,3,7,703,2,99,9,999,12,9,4,5,9999,5,21,9
"4108",4108,15,2,5,20,4,7,704,2,99,9,999,12,9,99,99,9999,5,99,9
"4109",4109,15,2,5,14,3,4,410,2,99,9,999,12,9,99,99,9999,5,99,9
"4110",4110,15,2,5,16,3,3,301,2,99,1,29,4,1,1,12,9999,5,13,1
"4111",4111,16,2,6,19,4,1,101,1,18,9,999,12,9,99,99,9999,5,99,9
"4112",4112,16,2,6,1,1,19,1901,2,99,9,999,12,9,99,99,9999,5,99,9
"4113",4113,16,2,6,13,3,5,507,2,99,1,33,5,1,3,11,9999,5,44,9
"4114",4114,16,2,6,11,2,5,501,2,99,1,34,5,1,3,6,1995,5,44,9
"4115",4115,16,2,6,10,2,10,1013,2,99,1,26,4,1,1,99,9999,5,32,1
"4116",4116,16,2,6,20,4,9,901,1,5,1,18,2,1,4,5,9999,5,42,1
"4117",4117,16,2,6,18,4,3,301,2,99,1,28,4,1,1,11,1993,5,99,9
"4118",4118,17,2,7,13,3,1,101,1,1,2,41,7,1,1,4,9999,5,46,1
"4119",4119,17,2,7,17,3,1,113,2,99,9,999,12,9,12,2,9999,5,99,9
"4120",4120,17,2,7,21,4,1,103,2,99,1,21,3,1,3,3,9999,5,37,2
"4121",4121,17,2,7,11,2,1,117,1,7,9,999,12,9,12,99,9999,5,99,9
"4122",4122,17,2,7,6,2,1,108,1,6,9,999,12,9,99,99,9999,5,99,9
"4123",4123,17,2,7,19,4,1,108,2,1,9,999,12,9,99,99,9999,5,99,9
"4124",4124,17,2,7,17,3,6,602,2,99,1,50,9,1,6,14,1985,5,22,2
"4125",4125,17,2,7,12,3,6,603,2,99,1,21,3,1,2,6,9999,5,5,1
"4126",4126,17,2,7,12,3,18,1801,2,99,1,21,3,1,4,4,2012,5,42,1
"4127",4127,18,2,7,9,2,1,101,1,1,2,44,7,1,1,2,9999,5,42,1
"4128",4128,18,2,7,12,3,1,101,1,18,1,66,11,1,9,7,1994,5,13,1
"4129",4129,18,2,7,18,4,1,115,2,99,9,999,12,9,99,99,9999,5,99,9
"4130",4130,18,2,7,19,4,1,115,2,99,1,29,4,1,1,7,9999,5,34,1
"4131",4131,19,2,1,20,4,1,101,1,3,9,999,12,9,99,99,9999,5,99,9
"4132",4132,19,2,1,20,4,1,101,1,18,9,999,12,9,99,99,9999,5,99,9
"4133",4133,19,2,1,20,4,1,115,2,99,1,23,3,1,4,4,2007,5,99,1
"4134",4134,19,2,1,7,2,1,108,2,1,9,999,12,9,12,7,9999,5,99,9
"4135",4135,19,2,1,15,3,20,2007,2,99,9,999,12,9,14,99,9999,5,99,9
"4136",4136,19,2,1,12,3,16,1613,2,99,1,43,7,1,5,1,9999,5,29,1
"4137",4137,19,2,1,15,3,17,1710,2,99,1,38,6,1,5,2,9999,5,99,9
"4138",4138,20,2,3,8,2,1,101,2,1,1,43,7,1,12,6,9999,5,99,9
"4139",4139,20,2,3,15,3,4,407,2,99,1,32,5,1,3,2,9999,5,44,1
"4140",4140,20,2,3,20,4,16,1604,2,99,1,39,6,1,6,6,9999,5,15,1
"4141",4141,20,2,3,22,4,1,101,2,5,9,999,12,9,99,99,9999,5,99,9
