"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","color_vehi","causa_acc"
"99",99,12,1,4,15,14,1402,1,99,9,999,11,9,9,9,6,3
"100",100,13,1,6,4,1,101,2,11,1,22,3,1,2,1,2,2
"101",101,13,1,6,17,21,2106,1,99,1,22,3,1,1,4,3,1
"102",102,13,1,6,23,19,1904,1,99,1,31,5,1,9,3,4,2
"103",103,13,1,6,20,5,501,1,99,1,13,1,2,9,4,3,1
"104",104,14,1,7,3,1,101,1,1,1,35,6,1,9,1,2,1
"105",105,14,1,7,17,1,101,1,18,1,27,4,1,9,4,5,1
"106",106,14,1,7,1,1,101,1,21,9,999,11,9,9,4,5,1
"107",107,14,1,7,7,5,501,2,99,1,38,6,1,9,6,1,1
"108",108,14,1,7,17,5,506,2,99,1,37,6,1,9,3,6,3
"109",109,14,1,7,19,10,1001,2,99,1,20,3,1,9,14,1,1
"110",110,14,1,7,1,4,409,2,99,1,45,8,1,9,3,2,1
"111",111,15,1,7,9,22,2201,2,99,1,32,5,1,9,3,2,1
"112",112,15,1,7,16,22,2201,2,99,1,50,9,1,2,1,2,1
"113",113,15,1,7,19,21,2101,2,99,1,54,9,1,2,2,9,2
"114",114,15,1,7,8,5,506,2,99,1,18,2,1,9,3,1,3
"115",115,15,1,7,13,5,501,2,99,1,26,4,1,1,3,3,3
"116",116,15,1,7,20,6,604,2,99,1,28,4,1,1,4,5,1
"117",117,15,1,7,17,10,1001,2,99,1,28,4,1,9,4,2,3
"118",118,15,1,7,3,11,1101,2,99,1,23,3,1,2,4,14,3
"119",119,15,1,7,22,15,1501,2,99,1,16,2,2,1,4,1,1
"120",120,15,1,7,18,18,1801,2,99,1,46,8,1,2,4,3,4
"121",121,15,1,7,22,17,1701,2,99,1,17,2,2,1,3,6,2
"122",122,16,1,1,3,1,102,2,99,1,19,2,1,1,1,3,1
"123",123,16,1,1,3,20,2001,2,99,1,26,4,1,1,4,1,1
"124",124,16,1,1,21,11,1101,2,99,1,28,4,1,2,14,1,1
"125",125,16,1,1,14,2,201,2,99,1,36,6,1,1,3,3,1
"126",126,16,1,1,22,17,1701,2,99,1,25,4,1,2,4,1,1
"127",127,17,1,2,21,1,101,1,1,1,22,3,1,1,3,4,1
"128",128,17,1,2,21,1,101,1,3,1,35,6,1,1,3,6,1
"129",129,17,1,3,16,1,101,1,1,1,50,9,1,1,1,7,1
"130",130,17,1,2,20,22,2214,2,99,1,65,10,1,1,6,2,1
"131",131,17,1,2,12,9,902,2,99,1,30,5,1,2,3,9,3
"132",132,18,1,3,21,1,101,1,1,1,24,3,1,1,1,5,1
"133",133,18,1,3,2,1,113,2,99,1,22,3,1,1,4,5,2
"134",134,18,1,3,23,1,102,2,99,1,27,4,1,1,3,4,1
"135",135,18,1,3,13,21,2107,1,99,1,22,3,1,1,4,1,1
"136",136,18,1,3,8,6,606,2,99,1,40,7,1,1,2,4,3
"137",137,18,1,3,18,6,601,2,99,2,50,9,1,9,2,2,4
"138",138,18,1,3,2,10,1001,2,99,9,999,11,9,9,4,5,2
"139",139,18,1,3,17,11,1103,2,99,1,19,2,1,2,14,1,1
"140",140,18,1,3,0,16,1609,2,99,1,39,6,1,1,8,1,2
"141",141,18,1,3,7,18,1801,2,99,1,33,5,1,1,4,99,2
