"","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_v","color_v","modelo_v","causa_ac"
"1797",23,1,6,22,5,2,99,1,30,2,3,2,9999,1
"1798",20,11,6,23,1,1,1,1,31,2,3,4,9999,2
"1799",23,2,2,1,19,2,99,1,17,9,4,99,9999,2
"1800",17,9,5,2,5,2,99,1,999,1,3,5,9999,1
"1801",20,11,6,3,1,1,6,1,28,9,4,3,9999,2
"1802",11,4,7,7,1,1,1,1,30,1,1,5,9999,1
"1803",22,10,5,14,1,1,14,1,32,1,1,4,9999,1
"1804",16,3,2,17,10,2,99,9,999,9,7,5,9999,1
"1805",17,8,2,20,1,1,13,1,38,1,1,2,2003,1
"1806",17,12,5,20,1,1,9,1,25,9,1,1,9999,2
"1807",23,1,6,21,10,1,1,1,30,2,2,2,1997,1
"1808",22,6,2,22,1,1,6,9,999,9,12,1,9999,1
"1809",18,7,7,23,1,1,6,1,26,9,4,3,9999,1
"1810",16,5,7,23,7,2,99,1,41,2,99,2,9999,3
"1811",16,5,7,1,4,2,99,1,36,2,4,99,9999,4
"1812",18,7,7,1,1,2,10,1,34,9,2,5,9999,2
"1813",20,11,6,6,6,2,99,1,27,9,3,11,1983,2
"1814",22,10,5,8,9,1,5,1,40,1,1,6,9999,1
"1815",11,4,7,13,1,1,18,1,26,1,14,1,9999,1
"1816",22,6,2,14,1,2,99,1,21,1,4,5,9999,1
"1817",17,12,5,16,1,1,6,1,19,9,14,1,2004,1
"1818",17,9,5,17,5,1,99,1,35,1,4,5,9999,1
"1819",16,3,2,18,10,1,1,1,26,9,4,2,9999,1
"1820",17,8,2,18,1,1,11,9,999,9,5,6,9999,1
"1821",23,1,6,21,9,2,99,1,27,9,9,2,2007,3
"1822",23,2,2,23,4,2,99,1,30,9,3,4,9999,1
"1823",23,2,2,0,2,2,99,1,32,2,1,5,9999,1
"1824",22,10,5,9,1,1,1,1,31,1,3,5,2009,1
"1825",20,11,6,11,16,2,99,1,34,9,3,99,9999,1
"1826",18,7,7,12,22,1,99,9,999,9,6,2,9999,1
"1827",16,5,7,14,4,2,99,1,19,1,1,1,9999,1
"1828",22,6,2,17,1,1,12,1,27,1,3,5,9999,1
"1829",17,8,2,17,1,2,99,9,999,1,3,3,9999,1
"1830",11,4,7,19,1,1,99,1,21,1,14,1,9999,1
"1831",23,1,6,21,8,1,1,9,999,9,1,5,9999,1
"1832",16,3,2,21,9,2,99,1,31,2,3,6,9999,2
"1833",17,12,5,22,1,2,99,1,37,9,4,5,9999,1
"1834",17,9,5,23,5,1,99,1,44,1,3,1,9999,1
"1835",23,10,6,1,13,1,99,1,18,2,4,9,9999,1
"1836",22,6,2,3,1,1,3,1,27,1,1,3,9999,1
"1837",23,1,6,4,18,2,99,1,38,9,7,1,2000,1
"1838",11,4,7,11,1,1,19,1,26,1,12,1,9999,1
"1839",17,5,1,13,18,2,99,9,999,9,3,2,9999,1
"1840",17,9,5,14,13,2,99,1,999,9,3,4,9999,3
"1841",16,3,2,17,9,1,99,2,53,9,4,99,9999,1
"1842",18,7,7,17,22,2,99,1,20,1,3,2,9999,1
"1843",20,11,6,19,16,2,99,1,23,9,4,5,9999,1
"1844",23,2,2,22,2,2,99,1,33,2,3,6,2002,1
"1845",17,8,2,23,19,2,99,9,999,9,1,6,9999,1
"1846",17,12,5,23,19,2,99,1,50,9,4,7,1995,2
"1847",17,12,5,0,5,2,99,2,50,9,1,1,2009,1
"1848",23,1,6,12,7,2,99,1,47,1,5,2,1995,1
"1849",22,6,2,12,1,1,8,1,18,1,3,11,1985,3
"1850",23,10,6,14,13,2,99,1,40,1,5,2,9999,1
"1851",11,4,7,14,20,2,99,1,39,1,3,2,1986,3
"1852",17,8,2,14,13,2,99,1,35,1,13,99,9999,3
"1853",18,5,2,15,19,2,99,1,28,1,4,99,9999,1
"1854",18,7,7,19,21,2,99,1,999,1,4,99,9999,1
"1855",20,11,6,19,17,2,99,1,16,1,4,4,2006,1
"1856",23,2,2,19,1,1,8,1,45,9,1,5,9999,4
"1857",17,9,5,20,16,1,9,1,52,1,3,1,1985,2
"1858",16,3,2,23,16,1,99,2,40,9,1,6,2006,99
"1859",24,2,3,10,21,1,99,1,45,9,3,1,9999,1
"1860",17,9,5,12,17,2,99,9,999,9,3,99,9999,1
"1861",20,11,6,12,17,2,99,1,38,1,9,11,9999,3
"1862",11,4,7,14,20,2,99,1,22,1,1,1,1990,3
"1863",23,10,6,16,19,2,99,1,24,9,4,99,9999,1
"1864",18,5,2,16,5,2,99,1,18,1,1,1,9999,2
"1865",18,7,7,17,15,2,99,1,26,1,3,99,9999,2
"1866",17,12,5,18,10,1,2,1,20,1,1,14,1994,1
"1867",17,8,2,19,16,2,99,1,32,1,3,99,9999,1
"1868",24,1,7,20,1,1,9,1,29,9,4,2,2008,4
"1869",16,3,2,21,15,2,99,1,36,9,3,4,9999,1
"1870",22,6,2,21,5,2,99,1,45,1,4,1,9999,4
"1871",16,3,2,7,2,2,99,9,999,9,9,3,2007,3
"1872",23,10,6,7,9,2,99,1,18,9,5,99,9999,3
"1873",17,8,2,11,17,2,99,1,35,1,4,99,9999,1
"1874",18,7,7,12,15,2,99,1,26,2,2,99,1998,1
"1875",24,1,7,14,1,2,99,1,59,9,2,99,9999,2
"1876",18,5,2,15,17,2,99,9,999,9,2,6,9999,1
"1877",11,4,7,16,20,2,99,9,999,9,14,1,9999,1
"1878",22,6,2,16,16,2,99,1,32,1,14,2,9999,1
"1879",17,9,5,16,17,2,99,1,20,1,4,5,9999,1
"1880",20,11,6,18,14,2,99,1,30,1,1,4,2011,1
"1881",17,12,5,18,12,2,99,1,25,1,4,99,9999,1
"1882",24,2,3,19,5,1,99,1,23,9,4,5,2008,1
"1883",20,11,6,0,1,1,99,1,28,1,1,99,9999,1
"1884",23,10,6,7,16,2,99,1,50,2,3,99,1994,2
"1885",11,4,7,8,6,2,99,1,40,9,1,2,9999,1
"1886",22,6,2,13,17,2,99,2,50,1,4,99,9999,1
"1887",25,2,4,14,12,1,2,1,23,9,4,3,2009,1
"1888",18,7,7,15,15,2,99,1,39,1,7,2,1998,1
"1889",17,9,5,15,4,2,99,2,41,9,1,2,1995,1
"1890",17,8,2,16,17,2,99,1,17,1,4,99,9999,4
"1891",16,3,2,17,18,2,99,9,999,9,3,1,9999,1
"1892",24,1,7,21,1,1,7,1,38,1,12,1,9999,2
"1893",18,5,2,23,4,2,99,9,999,9,3,1,9999,1
"1894",17,12,5,23,2,2,99,1,28,1,1,5,1986,1
"1895",24,1,7,1,1,2,99,1,31,9,4,5,2008,2
"1896",18,5,2,6,4,2,99,1,20,9,12,3,9999,1
"1897",23,10,6,8,16,2,99,1,38,1,4,1,9999,1
"1898",18,9,6,15,1,1,1,1,43,1,4,5,9999,1
"1899",18,7,7,15,13,2,99,1,53,1,3,11,9999,3
"1900",18,8,3,16,1,1,3,2,66,2,9,1,2006,1
"1901",23,6,3,18,21,2,99,1,18,1,4,1,9999,1
"1902",25,2,4,19,18,2,99,2,22,9,4,99,9999,1
"1903",16,3,2,20,18,1,99,2,28,9,4,99,9999,1
"1904",11,4,7,21,9,1,5,1,49,2,3,4,1996,1
"1905",20,11,6,22,20,2,99,1,16,1,4,3,9999,1
"1906",17,12,5,22,17,2,99,1,40,1,6,99,9999,1
"1907",20,11,7,3,1,1,10,1,26,1,1,2,1987,1
"1908",11,4,7,3,12,2,99,1,43,9,3,99,9999,4
"1909",19,5,3,4,1,1,1,1,22,9,99,11,9999,1
"1910",23,10,6,8,16,2,99,1,53,1,3,5,9999,3
"1911",16,3,2,9,14,2,99,1,53,9,3,10,1987,3
"1912",24,1,7,11,21,2,99,1,32,9,3,1,1987,2
"1913",18,8,3,13,1,1,10,1,38,1,1,99,9999,2
"1914",18,7,7,17,18,2,99,9,999,9,2,99,9999,1
"1915",17,12,5,18,17,2,99,1,31,2,4,99,9999,1
"1916",25,2,4,20,16,2,99,1,29,1,9,1,2006,1
"1917",23,6,3,20,2,2,99,1,37,1,3,2,2008,1
"1918",18,9,6,22,1,1,1,1,22,2,1,1,9999,1
"1919",11,4,7,1,13,2,99,1,40,1,3,99,9999,1
"1920",20,11,7,2,1,1,7,2,38,2,1,3,2002,2
"1921",18,9,6,4,1,1,18,1,32,1,10,2,9999,1
"1922",24,1,7,6,5,2,99,1,23,9,4,1,2008,1
"1923",25,2,4,12,17,1,99,9,999,9,14,99,9999,1
"1924",19,7,1,13,1,1,2,1,29,1,3,5,2009,1
"1925",23,10,6,15,18,2,99,1,35,1,4,2,9999,1
"1926",23,6,3,16,18,2,99,1,22,1,4,99,2008,1
"1927",19,5,3,17,1,1,3,1,33,9,6,2,9999,2
"1928",18,8,3,20,1,1,5,1,53,1,1,2,2005,1
"1929",16,3,2,21,4,2,99,1,21,9,4,5,9999,1
"1930",17,12,5,23,14,2,99,1,35,1,9,8,1990,4
"1931",25,2,4,0,14,1,3,2,16,1,1,4,2000,1
"1932",19,5,3,6,22,2,99,1,15,1,4,5,9999,1
"1933",17,12,5,7,7,2,99,1,44,1,5,2,1988,1
"1934",18,8,3,10,5,2,99,9,999,9,5,2,9999,1
"1935",17,3,3,12,1,1,12,9,999,9,1,4,1993,1
"1936",24,1,7,13,6,2,99,1,53,9,3,4,9999,1
"1937",18,9,6,13,1,2,99,1,36,1,2,6,1996,2
"1938",24,6,4,15,22,2,99,1,25,1,1,2,1997,2
"1939",11,4,7,16,2,2,99,1,32,1,1,6,9999,4
"1940",19,7,1,17,1,1,16,1,26,1,5,1,9999,3
"1941",23,10,6,18,7,2,99,1,29,1,3,3,9999,1
"1942",21,11,7,21,1,1,13,1,51,9,1,3,2001,1
"1943",11,4,7,4,18,2,99,9,999,9,3,5,9999,1
"1944",24,6,4,7,10,2,99,1,43,1,3,11,1986,1
"1945",17,12,5,10,4,2,99,1,43,1,4,1,9999,1
"1946",24,1,7,13,10,2,99,1,55,9,1,2,2002,1
"1947",25,2,4,16,4,2,99,9,999,9,3,5,9999,4
"1948",19,5,3,16,5,2,99,1,54,1,7,99,1984,3
"1949",18,8,3,18,10,2,99,1,41,1,1,6,2004,1
"1950",21,11,7,19,22,2,99,1,26,9,4,99,9999,1
"1951",17,3,3,20,22,2,99,1,27,9,1,99,9999,1
"1952",19,7,1,21,1,2,99,1,999,1,4,99,9999,1
"1953",18,9,6,22,1,1,12,9,999,9,12,1,9999,2
"1954",23,10,6,23,4,2,99,1,47,1,1,1,9999,1
"1955",18,9,6,0,1,2,99,9,999,9,12,7,9999,1
"1956",24,1,7,0,10,2,99,1,20,9,2,5,2000,3
"1957",23,10,6,5,4,2,99,1,32,1,12,1,9999,1
"1958",24,6,4,7,17,2,99,1,23,1,4,1,2010,1
"1959",17,3,3,10,21,2,99,1,55,9,13,99,9999,4
"1960",18,8,3,13,2,1,99,1,17,1,4,1,9999,1
"1961",11,4,7,15,18,2,99,1,37,1,2,9,2001,3
"1962",25,2,4,16,20,2,99,9,999,9,3,99,9999,3
"1963",17,12,5,21,6,2,99,1,38,1,4,3,9999,1
"1964",21,11,7,21,22,2,99,1,40,9,3,4,9999,3
"1965",19,7,1,23,20,2,99,1,34,2,1,3,2000,1
"1966",19,5,3,23,6,2,99,1,24,1,3,2,9999,3
"1967",18,12,6,5,1,1,9,1,28,1,1,5,9999,1
"1968",11,4,7,9,17,2,99,1,22,1,14,1,2005,1
"1969",17,3,3,12,5,1,1,1,999,1,4,2,2007,1
"1970",19,7,1,12,5,2,99,1,38,1,3,99,2008,1
"1971",21,11,7,12,5,1,99,1,65,9,4,1,9999,1
"1972",24,1,7,13,11,1,99,1,45,9,1,6,1996,2
"1973",19,5,3,13,12,2,99,9,999,9,3,99,9999,4
"1974",23,10,6,15,1,1,16,1,22,1,4,9,2009,1
"1975",25,2,4,17,5,2,99,9,999,9,1,10,9999,1
"1976",18,9,6,20,1,2,99,1,60,1,4,5,1998,1
"1977",18,8,3,20,18,2,99,2,20,1,4,99,9999,2
"1978",25,6,5,23,1,1,18,9,999,9,9,2,9999,1
"1979",24,1,7,0,11,2,99,1,28,9,9,11,2006,1
"1980",19,8,4,5,1,1,15,9,999,1,10,99,9999,2
"1981",19,5,3,6,18,2,99,1,37,1,3,5,9999,1
"1982",17,3,3,7,11,2,99,1,20,9,6,5,2008,1
"1983",18,12,6,12,1,1,7,1,67,1,4,1,9999,1
"1984",11,4,7,15,4,2,99,9,999,9,7,99,9999,1
"1985",18,9,6,15,1,1,1,1,32,1,2,6,9999,1
"1986",23,10,6,15,1,1,7,1,33,1,11,4,2007,1
"1987",21,11,7,16,5,2,99,1,999,2,7,99,9999,1
