"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","Fallecidos_Lesionados","Otro_g_edad_fall_les"
"6871",6871,17,3,7,19,4,1,101,1,5,1,59,7,1,2,11,4,5,44,10,2,5
"6872",6872,17,3,7,14,3,1,101,1,19,2,27,5,1,99,99,6,5,99,4,2,3
"6873",6873,17,3,7,17,3,1,115,2,0,2,25,5,1,99,99,6,5,99,4,2,3
"6874",6874,17,3,7,21,4,1,115,2,0,1,5,3,2,2,4,6,5,23,1,2,2
"6875",6875,17,3,7,21,4,1,115,2,0,2,14,4,2,2,4,6,5,23,1,2,2
"6876",6876,17,3,7,21,4,1,115,2,0,2,33,5,1,2,4,6,5,23,5,2,4
"6877",6877,17,3,7,2,1,9,901,2,0,1,23,4,1,99,99,6,5,99,3,1,3
"6878",6878,17,3,7,11,2,12,1201,2,0,1,19,4,1,1,99,6,5,99,2,2,3
"6879",6879,17,3,7,11,2,12,1201,2,0,1,22,4,1,1,99,6,5,99,3,2,3
"6880",6880,17,3,7,11,2,13,1301,2,0,1,35,5,1,2,8,6,5,44,6,1,4
"6881",6881,17,3,7,22,4,18,1801,2,0,1,21,4,1,4,1,6,5,21,3,1,3
"6882",6882,17,3,7,22,4,18,1801,2,0,1,18,4,1,4,1,6,5,21,2,2,3
"6883",6883,17,3,7,22,4,7,701,2,0,1,27,5,1,99,99,6,5,99,4,2,3
"6884",6884,17,3,7,16,3,3,301,2,0,1,999,9,1,1,99,6,5,99,11,2,8
"6885",6885,18,3,1,19,4,6,601,2,0,1,43,6,1,3,4,6,5,44,7,2,4
"6886",6886,18,3,1,15,3,6,601,2,0,2,20,4,1,4,2,5,5,42,3,2,3
"6887",6887,18,3,1,6,2,16,1601,2,0,1,23,4,1,99,99,6,5,99,3,1,3
"6888",6888,18,3,1,19,4,16,1601,2,0,1,29,5,1,4,5,4,5,99,4,1,3
"6889",6889,18,3,1,19,4,16,1601,2,0,1,999,9,1,4,5,4,5,99,11,1,8
"6890",6890,18,3,1,0,1,17,1705,2,0,1,53,7,1,99,99,6,5,99,9,1,5
"6891",6891,18,3,1,8,2,4,401,2,0,1,85,8,1,99,99,6,5,99,10,1,7
"6892",6892,18,3,1,8,2,4,401,2,0,1,85,8,1,99,99,6,5,99,10,1,7
"6893",6893,19,3,2,11,2,1,101,1,2,1,89,8,1,11,2,5,5,44,10,2,7
"6894",6894,19,3,2,18,4,1,101,1,18,1,22,4,1,4,1,6,5,21,3,2,3
"6895",6895,19,3,2,21,4,1,101,1,24,1,36,5,1,12,99,6,5,99,6,1,4
"6896",6896,19,3,2,8,2,1,101,1,11,1,49,6,1,4,5,6,5,24,8,2,5
"6897",6897,19,3,2,20,4,19,1901,2,0,2,27,5,1,99,99,6,5,99,4,2,3
"6898",6898,19,3,2,21,4,5,501,2,0,1,37,5,1,12,6,6,5,3,6,1,4
"6899",6899,19,3,2,20,4,5,501,2,0,1,29,5,1,2,99,6,5,26,4,2,3
"6900",6900,19,3,2,23,4,16,1601,2,0,1,30,5,1,99,99,6,5,99,5,1,4
